recordId,name,url,location,overallRating,venueRating,serviceRating,foodRating,reviews,tags,price,capacity,rooms
recM54IxC7AYLUzj7,Carlton Hotel Singapore,https://www.bridely.sg/venue/carlton-hotel-singapore/r/recM54IxC7AYLUzj7,Bras Basah,4.2,4.1,3.9,4.1,74,"Hotel, Chinese, Ballroom, Indoor",From $176/pax,100-120 pax,"[{""name"": ""Esplanade Room"", ""capacity"": ""100-120 pax"", ""price"": ""From $176/pax""}, {""name"": ""Empress Ballroom 4-5"", ""capacity"": ""250-320 pax"", ""price"": ""From $192/pax""}, {""name"": ""Empress Ballroom 1-3"", ""capacity"": ""180-280 pax"", ""price"": ""From $192/pax""}]"
recr2uhYlFFbsLQqc,Holiday Inn Singapore Orchard City Centre,https://www.bridely.sg/venue/holiday-inn-singapore-orchard-city-centre/r/recr2uhYlFFbsLQqc,Central Area,4.1,4.2,4,3.9,97,"Hotel, Chinese, Indian, Muslim-friendly",From $109/pax,50-70 pax,"[{""name"": ""Maharajah Suite"", ""capacity"": ""50-70 pax"", ""price"": ""From $109/pax""}, {""name"": ""Crystal Ballroom"", ""capacity"": ""160-300 pax"", ""price"": ""From $149/pax""}, {""name"": ""Orchid Ballroom"", ""capacity"": ""80-180 pax"", ""price"": ""From $149/pax""}, {""name"": ""Crystal Suite"", ""capacity"": ""120-140 pax"", ""price"": ""From $149/pax""}]"
recR7WzEfHK4tYlm9,Sofitel Singapore City Centre,https://www.bridely.sg/venue/sofitel-singapore-city-centre/r/recR7WzEfHK4tYlm9,Chinatown,4.7,4.5,4.6,4.6,29,"Hotel, Ballroom, Indoor",From $208/pax,220-340 pax,"[{""name"": ""Wallich Ballroom"", ""capacity"": ""220-340 pax"", ""price"": ""From $208/pax""}, {""name"": ""Saga Ballroom"", ""capacity"": ""80-120 pax"", ""price"": ""From $208/pax""}]"
recqfRcTjOiTduWme,Paradox Singapore Merchant Court,https://www.bridely.sg/venue/paradox-singapore-merchant-court/r/recqfRcTjOiTduWme,Central Area,4.3,4.3,4.1,4,62,"Hotel, Chinese, Ballroom, Indoor",From $202/pax,180-420 pax,"[{""name"": ""Ballroom"", ""capacity"": ""180-420 pax"", ""price"": ""From $202/pax""}]"
recyRb8h19BwLb7W9,Amara Sanctuary Resort Sentosa,https://www.bridely.sg/venue/amara-sanctuary-resort-sentosa/r/recyRb8h19BwLb7W9,Southern Islands,4.4,4.4,4,4.3,48,"Hotel, Ballroom, Garden & Greenery, Glasshouse, Indoor",From $190/pax,1-30 pax,"[{""name"": ""Glass Pavilion"", ""capacity"": ""1-30 pax"", ""price"": ""From $190/pax""}, {""name"": ""Spiral Stairway"", ""capacity"": ""1-30 pax"", ""price"": ""From $190/pax""}, {""name"": ""Grand Ballroom"", ""capacity"": ""150-400 pax"", ""price"": ""From $238/pax""}]"
recrMiURF2LFOFWlD,Andaz Singapore,https://www.bridely.sg/venue/andaz-singapore/r/recrMiURF2LFOFWlD,Central Area,4.4,4.5,4.1,4.2,43,"Hotel, Chinese, Western, Garden & Greenery, Glasshouse, Indoor",From $273/pax,190-280 pax,"[{""name"": ""The Glasshouse"", ""capacity"": ""190-280 pax"", ""price"": ""From $273/pax""}, {""name"": ""Garden Studio"", ""capacity"": ""70-130 pax"", ""price"": ""From $273/pax""}]"
reczaAiz7U0F6XoMR,The Secret Patio @ Duxton,https://www.bridely.sg/venue/the-secret-patio-duxton/r/reczaAiz7U0F6XoMR,Chinatown,4.8,4.8,4.3,5,20,"Event Hall, Colonial/Historical, Indoor","From $2,488",1-35 pax,"[{""name"": ""Solemnisation VIP Room 1hr plus Main hall 1hr"", ""capacity"": ""1-35 pax"", ""price"": ""From $2,488""}]"
recLLKpLfVWSBx8Zf,The Ritz Carlton Millenia,https://www.bridely.sg/venue/the-ritz-carlton-millenia/r/recLLKpLfVWSBx8Zf,Central Area,4.4,4.4,4.2,4,39,"Hotel, Ballroom, Garden & Greenery, Glasshouse, Indoor, Outdoor",From $249/pax,280-900 pax,"[{""name"": ""Grand Ballroom"", ""capacity"": ""280-900 pax"", ""price"": ""From $249/pax""}, {""name"": ""Glass Pavilion"", ""capacity"": ""150-200 pax"", ""price"": ""From $249/pax""}]"
rec1gQvTGBuDQHemt,Holiday Inn Singapore Atrium,https://www.bridely.sg/venue/holiday-inn-singapore-atrium/r/rec1gQvTGBuDQHemt,Tiong Bahru,4.3,4.3,4.2,4.3,53,"Hotel, Ballroom, Indoor",From $176/pax,80-400 pax,"[{""name"": ""Atrium Ballroom"", ""capacity"": ""80-400 pax"", ""price"": ""From $176/pax""}, {""name"": ""Changi Ballroom"", ""capacity"": ""80-200 pax"", ""price"": ""From $176/pax""}, {""name"": ""Xin Cuisine Chinese Restaurant"", ""capacity"": ""80-150 pax"", ""price"": ""From $176/pax""}]"
recImuMgglu5rtISW,PGP Hall (Sri Srinivasa Perumal Temple),https://www.bridely.sg/venue/pgp-hall-sri-srinivasa-perumal-temple/r/recImuMgglu5rtISW,Kallang,4.7,4.7,4,5,21,Event Hall,"From $3,800",1-567 pax,"[{""name"": ""Wedding Package 5hrs (Weekday)"", ""capacity"": ""1-567 pax"", ""price"": ""From $3,800""}, {""name"": ""Wedding Package 5hrs (Weekend)"", ""capacity"": ""1-567 pax"", ""price"": ""From $4,300""}]"
recXeDaR28YokfYRk,M Hotel Singapore City Centre,https://www.bridely.sg/venue/m-hotel-singapore-city-centre/r/recXeDaR28YokfYRk,Tanjong Pagar,4.1,3.9,3.6,3.6,74,"Hotel, Chinese, Indoor",From $179/pax,120-320 pax,"[{""name"": ""Anson Room"", ""capacity"": ""120-320 pax"", ""price"": ""From $179/pax""}, {""name"": ""Banquet Suite"", ""capacity"": ""180-320 pax"", ""price"": ""From $191/pax""}]"
reca3km1Rd7724PuE,HortPark,https://www.bridely.sg/venue/hortpark/r/reca3km1Rd7724PuE,Queenstown,4.8,4.8,,5,16,Event Hall,From $436,1-600 pax,"[{""name"": ""HortLawn"", ""capacity"": ""1-600 pax"", ""price"": ""From $436""}, {""name"": ""Event Lawn"", ""capacity"": ""1-500 pax"", ""price"": ""From $545""}, {""name"": ""MPH with stage"", ""capacity"": ""1-200 pax"", ""price"": ""From $790""}, {""name"": ""Exhibition Gallery"", ""capacity"": ""1-170 pax"", ""price"": ""From $981""}, {""name"": ""Fruit Room"", ""capacity"": ""1-50 pax"", ""price"": ""From $245""}, {""name"": ""Flower Room"", ""capacity"": ""1-25 pax"", ""price"": ""From $120""}, {""name"": ""Leaf Room"", ""capacity"": ""1-25 pax"", ""price"": ""From $120""}]"
recUuVPT9eiRAZtIU,Marina Bay Sands,https://www.bridely.sg/venue/marina-bay-sands/r/recUuVPT9eiRAZtIU,Central Area,4.4,4.3,3.9,4,38,"Hotel, Ballroom, Garden & Greenery, Indoor, Outdoor, Waterfront",From $285/pax,251-6000 pax,"[{""name"": ""Ballroom + Outdoor Garden Walk Solemnisation"", ""capacity"": ""251-6000 pax"", ""price"": ""From $285/pax""}, {""name"": ""Ballroom Only"", ""capacity"": ""101-150 pax"", ""price"": ""From $285/pax""}]"
