address,area,capacity_seated,capacity_standing,catering_options,city,cuisine,is_supervenue,lat,lng,min_attendees,mrt_distance,mrt_station,opening_hours,postcode,price,price_method,price_per_person,price_per_person_type,price_type,rating,response_rate,response_time_min,reviews,room_features,room_id,room_name,space_type,url,venue_id,venue_name,venue_part,venue_type,venue_url
18 Marina Gardens Drive Flower Dome,Marina South,50,80,"[1, 20, 8, 1000, 1001]",Singapore,Australian,False,1.2848354,103.8641817,,650 m,Bayfront MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Wednesday""], ""opens"": ""18:00"", ""closes"": ""22:30""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""12:00"", ""closes"": ""22:30""}]",018953,S$12000,minimum spend,-1,NULL,per session,0,0,0,0,"[7, 12]",114028,Entire Venue,Restaurant,https://www.tagvenue.com/sg/rooms/singapore/114028/marguerite/entire-venue,67282,Marguerite,Whole venue,Restaurant,https://www.tagvenue.com/sg/venues/singapore/67282/marguerite-2
1 Equestrian Walk ,Turf Club,120,140,"[1, 8, 1000, 1001]",Singapore,,False,1.4281783678991,103.76741402278,,650 m,Kranji MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Saturday"", ""Sunday""], ""opens"": ""11:00"", ""closes"": ""23:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Friday""], ""opens"": ""11:00"", ""closes"": ""00:00""}]",737863,S$55,per person,5500,per session,per session,0,0.75,975,0,"[5, 6, 7, 9, 12, 16, 17, 18]",61113,Entire Venue,Restaurant,https://www.tagvenue.com/sg/rooms/singapore/61113/cheval-equestrian-walk/entire-venue,30119,Cheval Equestrian Walk,Whole venue,Restaurant,https://www.tagvenue.com/sg/venues/singapore/30119/cheval-equestrian-walk
Seah Street ,Bugis,30,50,"[9, 16, 18, 19, 8, 1000]",Singapore,Italian,False,1.2957255,103.8550701,,250 m,Esplanade MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""11:30"", ""closes"": ""23:00""}]",189768,S$1200,hire fee,-1,NULL,per session,0,0.9423,381,0,"[5, 8, 12, 16]",13929,The Public House,Event Space,https://www.tagvenue.com/sg/rooms/singapore/13929/the-public-gallery-rooftop-level/the-public-house,6392,The Public Gallery (Rooftop Level),Private space,Gallery,https://www.tagvenue.com/sg/venues/singapore/6392/the-public-gallery-rooftop-level
28 Clementi Road ,Pasir Panjang 1,40,0,"[1, 2, 3, 14, 15, 20, 8, 1000, 1001]",Singapore,,False,1.2930834,103.7687374,,,,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""12:00"", ""closes"": ""00:00""}]",129754,S$1000,minimum spend,-1,NULL,per session,0,0.5714,801,0,"[5, 6, 7, 9, 12, 16, 17, 18]",74241,Restaurant Space,Dining Room,https://www.tagvenue.com/sg/rooms/singapore/74241/lazy-lizard-pasir-panjang/restaurant-space,41823,Lazy Lizard - Pasir Panjang,Private space,Restaurant,https://www.tagvenue.com/sg/venues/singapore/41823/lazy-lizard-pasir-panjang
2 Jurong Gateway Road #01-02,Toh Guan,40,100,"[1, 7, 14, 15, 17, 20, 8, 1001]",Singapore,Singaporean,False,1.3367313,103.7456762,,550 m,Jurong East MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""11:30"", ""closes"": ""23:00""}]",608512,S$3000,minimum spend,-1,NULL,per session,0,0.7391,300,0,"[3, 5, 6, 7, 8, 10, 12, 17, 18, 19, 24, 26]",106148,Indoor Event Space,Event Space,https://www.tagvenue.com/sg/rooms/singapore/106148/van-kafe/indoor-event-space,62989,Van Kafe,Private space,Cafe,https://www.tagvenue.com/sg/venues/singapore/62989/van-kafe
40 Pekin Street ,China Square,250,250,"[1, 7, 14, 20, 8, 1000, 1001]",Singapore,Asian,False,1.2834781,103.8485685,,150 m,Telok Ayer MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday""], ""opens"": ""11:30"", ""closes"": ""23:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Thursday""], ""opens"": ""11:30"", ""closes"": ""00:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Friday""], ""opens"": ""11:30"", ""closes"": ""01:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Saturday""], ""opens"": ""17:30"", ""closes"": ""23:30""}]",048770,S$120,per person,12000,per session,per session,0,1,666,0,"[5, 6, 9, 12, 16, 17, 18]",107649,Entire Venue,Restaurant,https://www.tagvenue.com/sg/rooms/singapore/107649/offbeat-by-coq-balls/entire-venue,63804,Offbeat by Coq & Balls,Whole venue,Restaurant,https://www.tagvenue.com/sg/venues/singapore/63804/offbeat-by-coq-balls
26 Tanjong Pagar Road ,Tanjong Pagar,100,160,"[1, 20, 8, 1000, 1001]",Singapore,Thai,False,1.2797914,103.8437907,,450 m,Tanjong Pagar MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday""], ""opens"": ""11:30"", ""closes"": ""22:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Sunday""], ""opens"": ""11:30"", ""closes"": ""23:00""}]",088449,S$105,per person,10500,per session,per session,0,0,0,0,"[5, 6, 7, 9, 12, 16, 17, 18]",106848,Entire Venue,Restaurant,https://www.tagvenue.com/sg/rooms/singapore/106848/kin-leaw-chill-authentic-thai-food/entire-venue,63373,Kin Leaw Chill - Authentic Thai Food,Whole venue,Restaurant,https://www.tagvenue.com/sg/venues/singapore/63373/kin-leaw-chill-authentic-thai-food
30 Stevens Road ,Nassim,50,80,"[1, 7, 9, 8, 1001]",Singapore,Asian,False,1.3135010483834,103.82822251898,,750 m,Stevens MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday"", ""Sunday""], ""opens"": ""11:00"", ""closes"": ""00:00""}]",257840,S$2000,minimum spend,-1,NULL,per afternoon,0,0.6429,784,0,"[3, 4, 6, 7, 12, 17]",36572,Restaurant,Restaurant,https://www.tagvenue.com/sg/rooms/singapore/36572/enjoy-eating-house-and-bar/restaurant,17179,Enjoy Eating House and Bar,Whole venue,Restaurant,https://www.tagvenue.com/sg/venues/singapore/17179/enjoy-eating-house-and-bar
5 Ang Mo Kio Central 2 #01-06,Ang Mo Kio Town Centre,68,80,"[1, 8, 1000, 1001]",Singapore,Thai,False,1.3728749,103.8476211,,400 m,Ang Mo Kio MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday""], ""opens"": ""11:00"", ""closes"": ""21:30""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Saturday"", ""Sunday""], ""opens"": ""11:00"", ""closes"": ""16:00""}]",569663,S$2000,minimum spend,-1,NULL,per session,0,0,0,0,"[5, 6, 7, 12, 17, 18]",91084,Khao Hom by Rung Mama,Restaurant,https://www.tagvenue.com/sg/rooms/singapore/91084/khao-hom-by-rung-mama-amk/khao-hom-by-rung-mama,54455,Khao Hom by Rung Mama - AMK,Whole venue,Restaurant,https://www.tagvenue.com/sg/venues/singapore/54455/khao-hom-by-rung-mama-amk
9 Bras Basah Road #02-03,Bras Basah,116,200,"[1, 7, 9, 16, 19, 20, 21, 8]",Singapore,Asian,False,1.2984927,103.8492521,,150 m,Bencoolen MRT Station,"[{""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Sunday""], ""opens"": ""18:00"", ""closes"": ""03:00""}, {""type"": ""OpeningHoursSpecification"", ""dayOfWeek"": [""Saturday""], ""opens"": ""20:00"", ""closes"": ""04:00""}]",189559,S$7194,minimum spend,-1,NULL,per session,0,0.8636,142,0,"[3, 5, 6, 7, 8, 12, 17, 18]",98345,Entire Venue,Bar,https://www.tagvenue.com/sg/rooms/singapore/98345/another-bar/entire-venue,58620,Another Bar,Whole venue,Bar,https://www.tagvenue.com/sg/venues/singapore/58620/another-bar
