_id,name,slug,category,state,city,address,venue_minCapacity,venue_maxCapacity,venue_minPrice,venue_maxPrice,venue_indoorOutdoor
67d7d0c13ffd1a7da2a5223a,The Westin Kuala Lumpur,the-westin-kuala-lumpur,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"199, Jln Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",100,600,,,Covered_Outdoor_Only
67d7d5583ffd1a7da2a54331,Grand Millennium KL,grand-millennium-kl,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"160, Jln Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",230,400,2388,2788,Covered_Outdoor_Only
67d7d9733ffd1a7da2a57c67,Crowne Plaza Kuala Lumpur City Centre,crowne-plaza-kuala-lumpur-city-centre,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"No 22, Menara 8, Jalan Yap Kwan Seng, Kampung Baru, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",200,400,3085,3288,Covered_Outdoor_Only
67d7e1863ffd1a7da2a5b643,Corus Hotel Kuala Lumpur,corus-hotel-kuala-lumpur,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"Persiaran Hampshire, Jalan Ampang, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",80,500,,,Covered_Outdoor_Only
67da54313ffd1a7da2a6a740,Angsana Teluk Bahang,angsana-teluk-bahang,venues,Pulau Pinang,Tanjung Bungah,"11, Jalan Teluk Bahang, Teluk Bahang, 11050 Tanjung Bungah, Pulau Pinang, Malaysia",10,216,2385,12995,Indoor___Outdoor
67da5e8e3ffd1a7da2a6ee8c,Ruang Rama PJ,ruang-rama-pj,venues,Selangor,Petaling Jaya,"WISMA DAJU 5, 21, Jalan Barat, Pjs 8, 46200 Petaling Jaya, Selangor, Malaysia",100,450,12999,37000,Covered_Outdoor_Only
67da64193ffd1a7da2a71cfe,K'Seena House,k'seena-house,venues,Selangor,Kuang,"Lot 3035, Lorong Teratai, Kampung Damai, 48050 Kuang, Selangor, Malaysia",50,300,0,0,Indoor_Only
67da685d3ffd1a7da2a751ad,Connexion Conference & Event Center,connexion-conference-&-event-center,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"7, Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",100,1200,1900,9000,Indoor_Only
67e12ff73ffd1a7da2a8c4af,Renaissance Kuala Lumpur Hotel,renaissance-kuala-lumpur-hotel,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"Corner Of Jalan Sultan Ismail, &, Jln Ampang, Kampung Baru, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",10,750,2903,4307.04,Indoor_Only
67e13e6c3ffd1a7da2a90247,One World Hotel Petaling Jaya,one-world-hotel-petaling-jaya,venues,Selangor,Petaling Jaya,"First Avenue, City Centre, Lebuh Bandar Utama, Bandar Utama, 47800 Petaling Jaya, Selangor, Malaysia",100,2000,288,468,Covered_Outdoor_Only
67ef3c16594e6d14ed1065a1,Atlantic Seafood Restaurant 大西洋海鲜酒家,atlantic-seafood-restaurant-大西洋海鲜酒家,venues,Selangor,Petaling Jaya,"Lot TG-MW, 001 & 004, Ground Floor, Tropicana Golf & Country Resort, Main Wing, Jalan Kelab Tropicana, Tropicana, 47410 Petaling Jaya, Selangor, Malaysia",50,650,180,288,Indoor___Outdoor
67f4ebb5594e6d14ed1159f3,Confetti KL,confetti-kl,venues,Selangor,Seri Kembangan,"Confetti KL, Ground floor Retail Block, Pusat Perdagangan Mines, 2,",1,450,2988,4988,Indoor_Only
6805a24027c7453c08a1a5e6,Putrajaya Marriott Hotel,putrajaya-marriott-hotel,venues,Wilayah Persekutuan Kuala Lumpur,Sepang,"IOI Resort City, Ioi Resort, 62502 Sepang, Wilayah Persekutuan Putrajaya, Malaysia",80,1200,2488,2888,Indoor_Only
68070b1d27c7453c08a28bff,Le Meridien Putrajaya Wedding,le-meridien-putrajaya-wedding,venues,Selangor,Putrajaya,"Lebuh IRC IOI Resort City, Ioi Resort, 62502 Putrajaya, Selangor, Malaysia",90,600,288,3288,Indoor_Only
680860fa27c7453c08a344d9,Palm Garden Hotel Putrajaya,palm-garden-hotel-putrajaya,venues,Selangor,Serdang,"Palm Garden Hotel, Ioi Resort, 62502 Serdang, Selangor, Malaysia",30,350,238,250000,Indoor_Only
680df9c327c7453c08a4ef38,Sofitel Kuala Lumpur Damansara,sofitel-kuala-lumpur-damansara,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"6, Jalan Damanlela, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",80,420,328,3899,Indoor_Only
682c37c6b09d890fe53071ff,Glenmarie Hotel & Golf Resort,glenmarie-hotel-&-golf-resort,venues,Selangor,Shah Alam,"1, Jalan Usahawan U1/8, Glenmarie Golf And Country Club, 40250 Shah Alam, Selangor, Malaysia",250,500,168,268,Indoor_Only
6837e66e7e5df6960d6afb2e,PARKROYAL COLLECTION Kuala Lumpur,parkroyal-collection-kuala-lumpur,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"Jln Sultan Ismail, Bukit Bintang, 50250 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",100,440,97,250,Indoor_Only
683810777e5df6960d6b6fab,The Ritz-Carlton,the-ritz-carlton,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"168, Jln Imbi, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",20,400,250,350,Indoor_Only
68382cf47e5df6960d6c8598,Ciao Ristorante KL,ciao-ristorante-kl,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"20A, Jalan Kampung Pandan, Off, Jln Tun Razak, Kelab Golf di Raja Selangor, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",10,300,8800,55000,Outdoor_Only
683942377e5df6960d6d477b,Intercontinental Hotel,intercontinental-hotel,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"165, Jln Ampang, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",100,650,100,300,Indoor_Only
