id,name,slug,vendorType,state,city,address,postCode,capacityMin,capacityMax,packagePrice,packageGuestMin,packageGuestMax
229d0f1a-5ff2-49d7-9337-92b6492c8494,Le Meridien Petaling Jaya,le-meridien-petaling-jaya,venue,Selangor,Petaling Jaya,"1, Jalan SS 7/26a, Ss 7, 47301 Petaling Jaya, Selangor, Malaysia",47301,250,1000,258,250,1000
54609492-df09-4dde-bd4b-e66d9bb3b9f6,Hilton Petaling Jaya,hilton-petaling-jaya,venue,Selangor,Petaling Jaya,"2, Jalan Barat, Pjs 52, 46200 Petaling Jaya, Selangor, Malaysia",46200,50,1000,318,100,1000
c00f5028-92fe-4b22-8cd5-9c9048238e9e,"Templer's Ballroom @ Setia Eco Templer, Rawang",templers-ballroom-setia-eco-templer-rawang,venue,Selangor,Rawang,"1, Jalan Ipoh- KM20, Taman Rekreasi Templar, Templer Park, 48000 Rawang, Selangor, Malaysia",48000,100,1000,80,20,500
b56dcea2-722f-42da-bc32-6d147210c2aa,Urban Park Hall,urban-park-hall,venue,Selangor,Shah Alam,"Alam Impian, 40470 Shah Alam, Selangor, Malaysia",40470,100,1000,30900,500,1000
907a7e26-b241-4404-85df-48c039c59127,Ampang Glasshouse,ampang-glasshouse,venue,Selangor,Ampang,"No. 22, Jalan Cempaka 15, Taman Cempaka, 68000 Ampang, Selangor, Malaysia",68000,50,250,8850,50,280
5321b2f1-2978-4ae5-aaf3-7d120be01e90,Luminare Event Hall,luminare-event-hall,venue,Selangor,Petaling Jaya,"B-G-02, PJ TRADE CENTRE, 8, Jalan PJU 8/8A, Damansara Perdana, 47820 Petaling Jaya, Selangor, Malaysia",47820,50,1000,35900,,500
449bb490-82b3-4e02-b254-f9fe32ee92d2,A-Park Puchong,a-park-puchong,venue,Selangor,Puchong,"3275, Jalan Pulau Meranti, Kampung Pulau Meranti, 47100 Puchong, Selangor, Malaysia",47100,200,1000,29500,200,1000
3575cced-6fdc-4654-b474-cb2ae0cbffef,Astana at Bamboo Hills,astana-at-bamboo-hills,venue,Kuala Lumpur,Kuala Lumpur,"Unit P13, Bamboo Hills, Jalan Bukit Bamboo, off, DUKE, Taman Bamboo, 51200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",51200,10,500,10000,10,100
38573b53-d872-4f28-8522-248da824caf1,G Glasshouse Klang,g-glasshouse-klang,venue,Selangor,Klang,"Unit 3-0, 65, Jalan Raja Bot, Kawasan 18, 41400 Klang, Selangor, Malaysia",41400,50,500,10988,100,300
743cd4df-3bf2-45ff-a2f7-8b3ecf5133c4,Element Kuala Lumpur,element-kuala-lumpur,venue,Kuala Lumpur,Kuala Lumpur,"8, Jln Binjai, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50450,30,240,3200,100,240
284adcfb-f50b-4340-8922-9aef1bd5474e,Chucasa Janda Baik,chucasa-janda-baik,venue,Pahang,Bentong,"8V77+V7, Kampung Janda Baik, 28750 Bentong, Pahang, Malaysia",28750,50,1000,27260,200,1000
f82e83af-c0d3-4497-a3f4-6d5fc2b2dc72,Connexion Conference & Event Centre (CCEC),connexion-conference-event-centre-ccec,venue,Kuala Lumpur,Kuala Lumpur,"7, Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59200,20,2000,2280,200,1000
2d898646-ee15-443a-af15-9209c46d0ece,PARKROYAL Penang Resort,parkroyal-penang-resort,venue,Penang,Batu Ferringhi,"PARKROYAL Penang Resort Batu Ferringhi Beach, 11100 Batu Ferringhi, Pulau Pinang, Malaysia",11100,10,300,10888,10,60
bd71c44b-82eb-4c83-ac0b-8e98781592cd,Mutiara Hillhomes,mutiara-hillhomes,venue,Pahang,Bentong,"1, Jalan Mutiara, Kampung Bukit Tinggi, 28750 Bentong, Pahang, Malaysia",28750,78,200,22600,,
fb48ef9d-3136-4af4-972d-5f561c104982,Colony @ Setia Alam,colony-coworking-event-space-setia-alam-mqkbe4aj,venue,Selangor,Shah Alam,"Level 9, Menara Sunsuria 1, Jln Setia Dagang AL U13/AL, Setia Alam, 40170 Shah Alam, Selangor, Malaysia",40170,,,,,
8d77f47f-d1ec-4182-a427-370370451340,Seven Terraces,seven-terraces,venue,Penang,George Town,"14A, Stewart Ln, George Town, 10200 Penang",10200,50,100,400,50,100
623e7e44-2523-44bd-8f0c-fce9e3c4abf6,"Shangri-La Rasa Sayang, Penang",rasa-sayang-penang,venue,Penang,Batu Ferringhi,"Jalan Batu Ferringhi, 11100 Batu Ferringhi, Penang",11100,50,300,2988,100,150
07db1e0a-86ff-41f6-8abe-a193fe553b3f,Eastern & Oriental Hotel,eo-hotel-penang,venue,Penang,George Town,"10, Lebuh Farquhar, George Town, 10200 Penang",10200,0,400,2488,,10
e8fb13bf-e746-4669-ae4f-60e98e87a69f,Hard Rock Hotel Penang,hard-rock-penang,venue,Penang,Batu Ferringhi,"Batu Ferringhi Beach, 11100 Batu Ferringhi, Penang",11100,200,260,8200,,30
7b7597ef-8fa7-4541-b01c-c77ef4e5c1fa,DoubleTree Resort by Hilton Penang,doubletree-penang,venue,Penang,Batu Ferringhi,"56, Jalan Low Yat, Puncak Ria, 11100 Batu Ferringhi, Penang",11100,150,320,1488,150,
c5208881-16d2-4cbf-a1c4-dfc619774c69,G Hotel Kelawai,g-hotel-kelawai,venue,Penang,George Town,"2, Lorong Maktab, 10250 George Town, Penang",10250,200,200,2588,200,10
2c1d0b5c-7d46-4179-b869-38fbb771a9b3,The Granite Luxury Hotel Penang,granite-hotel-penang,venue,Penang,George Town,"191, Jalan Magazine, George Town, 10300 Penang",10300,50,180,12888,,50
5b3c68c2-8260-4c0b-bb91-cf01acacda41,The Prestige Hotel Penang,prestige-hotel-penang,venue,Penang,George Town,"8, Gat Lebuh Gereja, George Town, 10300 Penang",10300,50,72,289.44,50,
624c24b5-78e8-4ff4-aed1-5df547ac64c3,Ixora Hotel Penang,ixora-hotel-penang,venue,Penang,Perai,"3096 Jalan Baru, Bandar Perai Jaya, 13600 Perai, Penang",13600,200,800,1088,200,380
de861583-ade1-4246-a075-38fe2cba3a32,Iconic Hotel Penang,iconic-hotel-penang,venue,Penang,Bukit Mertajam,"71, Jln Icon City, Bukit Tengah, 14000 Bukit Mertajam, Penang",14000,200,0,1299,200,
8e8c83f0-1485-49b4-8451-2a33df1eb59b,Asimmy Hotel | Event Space,asimmy-hotel,venue,Penang,Sungai Jawi,"Level 3, Asimmy Hotel, Jalan Gamelan Indah 1, Taman Gamelan Indah, Sungai Bakap, 14200 Sungai Jawi, Penang",14200,100,120,3599,,170
