dinner_price,lunch_price,name,price_lists,profile_url,rating,tables_max,tables_min,tables_range
$1398-$1398Mon - Fri$1634-$1634Saturday$1398-$1398Sunday,$1304-$1304Mon - Sun,Hilton Singapore,,,,50,18,18 - 50Mon - Sun
$1339Mon - Thu$1398Fri - Sun,$1222Mon - Thu$1281Fri - Sun,Hotel RE! @ Pearl's Hill,,,,42,5,5 - 42Mon - Sun
$1389-1860Mon - Thu$1624-$1977Fri - Sun,$1389-$1860Mon - Thu$1624-$1977Fri - Sun,iFly Singapore Sky Garden,,,,12,10,10 - 12Mon - Sun
$979Mon - Thu$1163Fri - Sun,$939Mon - Thu,Imperial Treasure @ Chinese Swimming Club,,,,26,18,18 - 26Mon - Sun
$2374–$2494Mon - Fri$2494–$2494Saturday$2374–$2494Sunday,$2254++Mon - Sun,Jade @ The Fullerton Hotel Singapore,,,,12,10,10 - 12Mon - Sun
$1751-$2222Mon - Sun,$1751-$2222Mon - Sun,"Le Meridien Singapore, Sentosa (fomerly Movenpick)",,,,16,12,12 - 16Mon - Sun
$608-$856Mon - Sun,$608-$856Mon - Sun,Lijiang Restaurant by Yunnan,,,,40,20,20 - 40Mon - Sun
$597 – $837Mon - Sun,$597 – $837Mon - Sun,LingZhi Vegetarian (Liat Towers),,,,13,9,9 - 13Mon - Sun
$501-$661Mon - Sun,$501-$661Mon - Sun,LingZhi Vegetarian (Velocity – Novena Square),,,,12,10,10 - 12Mon - Sun
$3453++Mon - Sun,$2854++Mon - Sun,Marina Bay Sands,,,,150,15,15 - 150Mon - Sun
$1424–$2264Mon - Fri$1544–$2264Sat - Sun,$1305–$2144Mon - Fri$1424–$2144Sat - Sun,Mercure Singapore Bugis,,,,10,5,5 - 10Mon - Sun
$1133-$1133Mon - Thu$1251-$1251Fri - Sun,$1133-$1133Fri - Sun,Park Hotel Alexandra,,,,14,3,3 - 14Mon - Sun
$975-$1398Mon - Thu$1163-$1398Fri - Sun,$975-$1363Mon - Sun,Peach Garden @ Hotel Miramar,,,,42,20,20 - 42Mon - Thu25 - 42Fri - Sun
$1340–$1964Mon - Thu$1724–$1964Fri - Sun,$1340–$1964Sat - Thu$1724–$1964Fri - Sun,Peach Garden @ OCBC Centre,,,,36,10,10 - 36Mon - Sun
$975-$1363Mon - Thu$1128-$1363Fri - Sun,$975-$1328Mon - Sun,Peach Garden @ Orchid Country Club,,,,42,15,15 - 42Mon - Fri25 - 42Sat - Sun
$1400–$2000Mon - Thu$1760–$2000Fri - Sun,$1400–$2000Mon - Thu$1760–$2000Fri - Sun,Peach Garden @ The Heeren,,,,20,16,16 - 20Mon - Sat
$1340–$1760Mon - Thu$1592–$1760Fri - Sun,$1340–$1760Mon - Thu$1592–$1760Fri - Sun,Peach Garden @ The Metropolis,,,,12,8,8 - 12Mon - Sun
$1340–$1760Mon - Thu$1592–$1760Fri - Sun,$1340–$1760Mon - Thu$1592–$1760Fri - Sun,Peach Garden @ Thomson Plaza,,,,30,10,10 - 30Mon - Sun
$1664++Mon - Thu$1904++Fri - Sun,$1664++Mon - Fri$1784++Sat - Sun,Peony Jade @ Amara Singapore,,,,20,12,12 - 20Mon - Thu15 - 20Fri - Sun
$1099-$1298Mon - Sun,$1008-$1208Mon - Sun,Peony Jade at Clarke Quay,,,,38,18,18 - 38Mon - Sun
$1128-$1298Mon - Sun,$1028-$1208Mon - Sun,Peony Jade at Keppel Club,,,,40,18,18 - 40Mon - Sun
$568-$1388Mon - Sun,$568-$1388Mon - Sun,Prima Tower Revolving Restaurant,,,,40,20,20 - 40Mon - Sun
$1138–$1758Mon - Sun,$1138–$1758Mon - Sun,Qian Xi Bliss Garden,,,,85,25,25 - 85Mon - Sun
$698-$1118Mon - Sun,$698-$1118Mon - Sun,Qian Xi Blossom Garden,,,,70,10,10 - 70Mon - Sun
$1138–$1758Mon - Sun,$1138–$1758Mon - Sun,Qian Xi Bountiful Garden,,,,28,6,6 - 28Mon - Sun
$698-$1118Mon - Sun,$698-$1118Mon - Sun,Qian Xi Carpenter Street,,,,80,5,5 - 80Mon - Sun
$1138–$1758Mon - Sun,$1138–$1758Mon - Sun,Qian Xi Eternal Garden,,,,40,10,10 - 40Mon - Sun
$1138–$1758Mon - Sun,$1138–$1758Mon - Sun,Qian Xi Farrer Park,,,,57,21,21 - 57Mon - Sun
