location,name,price_lists,profile_url,source,vendor_name,venue_id
"1 Hill Street, Singapore 179949",Oculus,"[""https://www.blissfulbrides.sg/banquet//wedding-banquet-price-list/wedding-brochure-pullman-singapore-hill-street.pdf""]",https://www.blissfulbrides.sg/detail/1357/Pullman-Singapore-Hill-Street,wedding-venues-booking,Pullman Singapore Hill Street,216
,Outdoor Alfresco Dining,,https://www.blissfulbrides.sg/detail/1356/Tanglin-Gin-Jungle,wedding-venues-booking,Tanglin Gin Jungle,214
"1 Netheravon Road, Singapore 508502",Oval,"[""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/impian-selamanya.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/timeless-union-a5-brochure-western.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/eternal-vows-a5-brochure-chinese.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/eternal-vows-a5-brochure-buffet.pdf""]",https://www.blissfulbrides.sg/detail/177/Village-Hotel-Changi,wedding-venues-booking,Village Hotel Changi,231
"PARKROYAL on Beach Road: 7500 Beach Road, Singapore 199591",PARKROYAL on Beach Road,,https://www.blissfulbrides.sg/detail/711/Si-Chuan-Dou-Hua-Restaurant,wedding-venues-booking,Si Chuan Dou Hua Restaurant,208
"11 Laguna Golf Green, Singapore 488047",Pool Pavilions,"[""https://www.blissfulbrides.sg/banquet/dusit-thani-laguna-singapore/wedding-banquet-price-list/dusit-thani-laguna-singapore-property-fact-sheet_jun-2025.pdf"", ""https://www.blissfulbrides.sg/banquet/dusit-thani-laguna-singapore/wedding-banquet-price-list/timeless-symphonies-wedding-brochure.pdf""]",https://www.blissfulbrides.sg/detail/810/Dusit-Thani-Laguna-Singapore,wedding-venues-booking,Dusit Thani Laguna Singapore,238
"1 Netheravon Road, Singapore 508502",Poolside,"[""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/impian-selamanya.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/timeless-union-a5-brochure-western.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/eternal-vows-a5-brochure-chinese.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/eternal-vows-a5-brochure-buffet.pdf""]",https://www.blissfulbrides.sg/detail/177/Village-Hotel-Changi,wedding-venues-booking,Village Hotel Changi,229
,Poolside Terrace,"[""https://www.blissfulbrides.sg/banquet/goodwood-park-hotel/wedding-banquet-price-list/mj-weddings.pdf"", ""https://www.blissfulbrides.sg/banquet/goodwood-park-hotel/wedding-banquet-price-list/gwp-ballroom-weddings-1-oct-2025-30-sep-2026-.pdf""]",https://www.blissfulbrides.sg/detail/1401/Goodwood-Park-Hotel,wedding-venues-booking,Goodwood Park Hotel,246
,Quad,,https://www.blissfulbrides.sg/detail/177/Village-Hotel-Changi,wedding-venues-booking,Village Hotel Changi,227
,"Rainforest Wild ASIA, The Oculus",,https://www.blissfulbrides.sg/detail/1385/Mandai-Wildlife-Reserve,wedding-venues-booking,Mandai Wildlife Reserve,240
25 Marine Parade Singapore 449536,Saffron,"[""https://www.blissfulbrides.sg/banquet/village-hotel-katong/wedding-banquet-price-list/impian-selamanya.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-katong/wedding-banquet-price-list/timeless-union-a5-brochure-western.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-katong/wedding-banquet-price-list/eternal-vows-a5-brochure-chinese.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-katong/wedding-banquet-price-list/eternal-vows-a5-brochure-buffet.pdf""]",https://www.blissfulbrides.sg/detail/377/Village-Hotel-Katong,wedding-venues-booking,Village Hotel Katong,237
,Senses Lawn,"[""https://www.blissfulbrides.sg/banquet/the-ritz-carlton-bali/wedding-banquet-price-list/wedding-reception-package-2025.pdf"", ""https://www.blissfulbrides.sg/banquet/the-ritz-carlton-bali/wedding-banquet-price-list/majestic-wedding-package-2025.pdf""]",https://www.blissfulbrides.sg/detail/1369/The-Ritz-Carlton---Bali,wedding-venues-booking,The Ritz Carlton - Bali,223
"27 Bukit Manis Rd, Singapore 099892",Sentosa Pavilion,"[""https://www.blissfulbrides.sg/banquet/sentosa-golf-club/wedding-banquet-price-list/wedding-package-2025-international-buffet.pdf"", ""https://www.blissfulbrides.sg/banquet/sentosa-golf-club/wedding-banquet-price-list/pyramid-wedding-package-2025.pdf"", ""https://www.blissfulbrides.sg/banquet/sentosa-golf-club/wedding-banquet-price-list/wedding-packages-2025-chinese.pdf""]",https://www.blissfulbrides.sg/detail/532/Sentosa-Golf-Club,wedding-venues-booking,Sentosa Golf Club,105
25 Marine Parade Singapore 449536,Serai,"[""https://www.blissfulbrides.sg/banquet/village-hotel-katong/wedding-banquet-price-list/impian-selamanya.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-katong/wedding-banquet-price-list/timeless-union-a5-brochure-western.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-katong/wedding-banquet-price-list/eternal-vows-a5-brochure-chinese.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-katong/wedding-banquet-price-list/eternal-vows-a5-brochure-buffet.pdf""]",https://www.blissfulbrides.sg/detail/377/Village-Hotel-Katong,wedding-venues-booking,Village Hotel Katong,234
,"Singapore Zoo, Forest Lodge",,https://www.blissfulbrides.sg/detail/1385/Mandai-Wildlife-Reserve,wedding-venues-booking,Mandai Wildlife Reserve,241
"1 Netheravon Road, Singapore 508502",Sphere,"[""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/impian-selamanya.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/timeless-union-a5-brochure-western.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/eternal-vows-a5-brochure-chinese.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/eternal-vows-a5-brochure-buffet.pdf""]",https://www.blissfulbrides.sg/detail/177/Village-Hotel-Changi,wedding-venues-booking,Village Hotel Changi,232
"1 Netheravon Road, Singapore 508502",Square Ballroom,"[""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/impian-selamanya.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/timeless-union-a5-brochure-western.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/eternal-vows-a5-brochure-chinese.pdf"", ""https://www.blissfulbrides.sg/banquet/village-hotel-changi/wedding-banquet-price-list/eternal-vows-a5-brochure-buffet.pdf""]",https://www.blissfulbrides.sg/detail/177/Village-Hotel-Changi,wedding-venues-booking,Village Hotel Changi,226
"9 Kent Ridge Drive, Singapore 119241",Suntec City Guild House,"[""https://www.blissfulbrides.sg/banquet/the-national-university-of-singapore-society-nuss-/wedding-banquet-price-list/mandalay-guild-house-2025.pdf"", ""https://www.blissfulbrides.sg/banquet/the-national-university-of-singapore-society-nuss-/wedding-banquet-price-list/suntec-city-guild-house-2025.pdf"", ""https://www.blissfulbrides.sg/banquet/the-national-university-of-singapore-society-nuss-/wedding-banquet-price-list/kent-ridge-guild-house-2025.pdf""]",https://www.blissfulbrides.sg/detail/1337/The-National-University-of-Singapore-Society--NUSS-,wedding-venues-booking,The National University of Singapore Society (NUSS),206
,The Majestic Chapel,"[""https://www.blissfulbrides.sg/banquet/the-ritz-carlton-bali/wedding-banquet-price-list/wedding-reception-package-2025.pdf"", ""https://www.blissfulbrides.sg/banquet/the-ritz-carlton-bali/wedding-banquet-price-list/majestic-wedding-package-2025.pdf""]",https://www.blissfulbrides.sg/detail/1369/The-Ritz-Carlton---Bali,wedding-venues-booking,The Ritz Carlton - Bali,219
"12 Marina View, Asia Square Tower 2, Singapore 018961",The Westin Singapore – Cook & Brew,"[""https://www.blissfulbrides.sg/banquet/the-westin-singapore/wedding-banquet-price-list/2025-lunch-package-wedding-brochure.pdf"", ""https://www.blissfulbrides.sg/banquet/the-westin-singapore/wedding-banquet-price-list/2025-weekday-dinner-package-wedding-brochure.pdf"", ""https://www.blissfulbrides.sg/banquet/the-westin-singapore/wedding-banquet-price-list/2025-weekend-dinner-package-wedding-brochure.pdf"", ""https://www.blissfulbrides.sg/banquet/the-westin-singapore/wedding-banquet-price-list/2026-wedding-package-weekday-dinner.pdf"", ""https://www.blissfulbrides.sg/banquet/the-westin-singapore/wedding-banquet-price-list/2026-wedding-package-weekend-dinner.pdf"", ""https://www.blissfulbrides.sg/banquet/the-westin-singapore/wedding-banquet-price-list/2026-wedding-package-lunch-2026.pdf""]",https://www.blissfulbrides.sg/detail/1318/The-Westin-Singapore,wedding-venues-booking,The Westin Singapore,199
"80 Raffles Place, #60-01 UOB Plaza 1, Singapore 048624",TOP of UOB Plaza,,https://www.blissfulbrides.sg/detail/711/Si-Chuan-Dou-Hua-Restaurant,wedding-venues-booking,Si Chuan Dou Hua Restaurant,65
